Game Name,Link1,PN3,Link2,NW,Link3,FTN,Link4,PVN,Link5,PVX2,Link6,PTN,Link7,PTNC,Link8,SteamVR,Link9,Quest,Link10,Mod,Link11,Special Notes,Link12
Aim XR,,,,X,,,,,,,,,,,,,,X,https://www.oculus.com/experiences/quest/4245506092131005/,,,,
After The Fall,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/751630/After_the_Fall/,,,X,https://github.com/Astienth/AfterTheFall_Provolver/releases/latest,,
Arizona Sunshine,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/342180/Arizona_Sunshine,,,X,https://www.nexusmods.com/arizonasunshine/mods/3,,
Arizona Sunshine 2,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1540210/Arizona_Sunshine_2/,,,X,https://github.com/Astienth/ArizonaSunshine2_protube/releases/tag/1.0,,
Audica,,,,,,,,,,,,,,,,,,,,X,https://www.nexusmods.com/audica/mods/2/,,
Alvo,,X,,,,,,,,,,,,,,,,X,https://www.oculus.com/experiences/quest/6937410016334124/,,,"Quest: (enable in Settings>Interactions) If it doesn't connect - to enable haptics, you must go to App Permissions for Alvo, and disable, then re-enable, Bluetooth permissions. Then when launching the game your device should pair",
ARK-ADE,,X,,X/ Steam Only,,X,,,,,,,,X,,X,https://store.steampowered.com/app/1599000/ARKADE/,X,https://www.oculus.com/experiences/quest/4609792345698021,,,"Quest: if it doesn't connect, to enable haptics, you must go to App Permissions for Ark and Ade, and enable or disable, then re-enable, permissions. Then when launching the game your device should pair",
Cactus Cowboy 3 Fully Loaded,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1657760/Cactus_Cowboy_3__Fully_Loaded/,X,https://www.oculus.com/experiences/quest/4182707631759769/,,,(enable in options),
Cactus Cowboy - Desert Warfare,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/2554800/Cactus_Cowboy__Desert_Warfare/,,,,,,
Cactus Cowboy - Plants At War,,,,X,,,,,,,,,,,,X,https://store.steampowered.com/app/1973110/Cactus_Cowboy__Plants_at_War/,X,https://www.oculus.com/experiences/quest/5569487753065341/,,,,
Clay Hunt VR,,,,,,,,X,,,,,,X,,,,X,https://www.oculus.com/experiences/quest/4341884889233002/,,,"If it doesn't connect - to enable haptics, you must go to App Permissions for Clay Hunt VR, and disable, then re-enable permissions. Then when launching the game your device should pair",
Compound,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/615120/COMPOUND/,,,X,https://github.com/Astienth/ProTube_Compound/releases/tag/1.0,,
Contractors,,X,,,,,,X,,,,,,,,X,https://store.steampowered.com/app/963930/Contractors/,X,https://www.oculus.com/experiences/quest/2436897736439055/,,,(Sniper Rifles (and more) also bugged),
Crisis VRigade 2,,,,,,X,,,,,,X,,,,X,https://store.steampowered.com/app/1066180/Crisis_VRigade_2/,X,https://www.oculus.com/experiences/quest/5167901379894551/,,,,
Crossfire Sierra Squad,,,,,,,,,,,,,,,,,,,,X,https://github.com/Astienth/CrossFireSierraSquad_Provolver/releases/tag/1.0,,
Crunch Element,,,,X,,,,,,,,,,,,X,https://store.steampowered.com/app/1090250/Crunch_Element/,,,,,,
Dead Second,,,,,,X,,,,X,,,,X,,X,https://store.steampowered.com/app/2139350/Dead_Second/,X,https://www.oculus.com/experiences/quest/3780317308718524/,,,(For PVX2 swipe L/R channels in settings):,
DOOM 3 Quest,,,,,,,,,,,,,,,,,,X,https://www.doom3quest.com/,X,https://www.doom3quest.com/,,
Duck Season,,,,,,,,,,,,,,,,,,,,X,https://github.com/Astienth/DuckSeason_bHaptics/releases/tag/0.1,,
Gambit!,,,,,,X,,,,,,X,,,,X,https://store.steampowered.com/app/1736120/Gambit/,X,https://www.oculus.com/experiences/quest/3580009512106870/,,,,
GangV: VR & PC Battle Royale,,,,,,X,,,,,,,,,,,https://store.steampowered.com/app/1342790/GangV__VR__PC_Battle_Royale/,,,,,,
Ghosts of Tabor,,,,X,,,,,,,,,,,,X,https://store.steampowered.com/app/1957780/Ghosts_of_Tabor/,X,https://www.oculus.com/experiences/quest/7614022262006379/,,,,
Gun Club VR,,X,,X,,,,,,,,,,,,,,X,https://www.oculus.com/experiences/quest/2285803881494677,,,,
Far Cry VR Mod,,,,,,,,,,,,,,,,X,https://store.steampowered.com/agecheck/app/13520/,,,X,https://github.com/fholger/farcry_vrmod/releases/tag/latest,,
Gazzlers,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1707620/GAZZLERS/,,,X,https://github.com/Astienth/Gazzlers_Provolver/releases,,
Guardians Frontline,,,,,,,,,,,,,,,,X,https://store.steampowered.com/app/1481440/Guardians_Frontline,,,X,https://github.com/Astienth/Guardians_Frontline_Protube/releases/latest,,
Half-Life: Aylx,,,,,,,,,,,,,,,,,,,,X,https://github.com/Astienth/Provolver_HalfLifeAlyx/releases/tag/1.0,,
Half-Life 2: VR Mod,,,,,,X,,,,,,,,,,X,https://store.steampowered.com/app/658920/HalfLife_2_VR_Mod/,,,,,,
